      67
   lam[mic]    flux[Jy]   sigma[Jy] rem  filter        typ pointing       mag   err_mag              bibcode |  comments
  7800.0000  8.5600E-04  1.7800E-04  ok   generic      BOL    0.000                                      NaN |  Green Bank Telescop    
  8600.0000  1.0530E-03  1.1500E-04  ok   generic      BOL    0.000                                      NaN |  Green Bank Telescop    
  9000.0000  1.2500E-03  6.1000E-04  ul   generic      BOL    0.000                                      NaN |  Green Bank Telescop    
  9600.0000  8.1900E-04  1.1800E-04  ok   generic      BOL    0.000                                      NaN |  Green Bank Telescop    
 10800.0000  5.1700E-04  1.0800E-04  ok   generic      BOL    0.000                                      NaN |  Green Bank Telescop    
   4.82e-1	6.21e-3	 3.e-4       ok   SDSS.GP      CCD    0.0                        II/336/apass9       |  VizieR Photometry viewer
   6.25e-1	21.3e-3	 1.e-3       ok   SDSS.RP      CCD    0.0                        II/336/apass9       |  VizieR Photometry viewer 
   7.63e-1	48.3e-3	 2.e-3       ok   SDSS.IP      CCD    0.0                        II/336/apass9       |  VizieR Photometry viewer 
   4.44e-1	4.41e-3	 2.e-4       ok   JOHNSON.B    CCD    0.0                        II/336/apass9       |  VizieR Photometry viewer 
   5.54e-1	11.6e-3	 6.e-4       ok   JOHNSON.V    CCD    0.0                        II/336/apass9       |  VizieR Photometry viewer  
   8.82e-1	74.2e-3	 4.e-3	     ok   UKIDSS.Z     CCD    0.0                        II/314/gcs8         |  VizieR Photometry viewer  
   70.0	        5.1      0.8         ok   PACS.70      BOL    0.0			 Howard+2013	     |  GASPS photometry 
  100.0	        4.7      0.7         ok   PACS.100     BOL    0.0			 Howard+2013	     |  GASPS photometry 
  140.0	        4.1      0.8         ok   PACS.160     BOL    0.0			 Howard+2013	     |  GASPS photometry 
  887.0         0.253    0.026       ok   generic      BOL    0.0                        J/ApJ/771/129/table2|  VizieR Photometry viewer
 1330.0         0.108    0.007       ok   generic      BOL    0.0                        J/ApJ/771/129/table2|  VizieR Photometry viewer
 2700.0         0.0255   0.0027      ok   generic      BOL    0.0                        Dutrey+1996         |  IRAM    
 3570.0         0.0138   0.00029     ok   generic      BOL    0.0                        Ricci+2010          |  PdBI
 7000.0         0.00247  0.00029     ok   generic      BOL    0.0                        Rodmann+2006        |  VLA
